index,submit_date,ID,platform,sessionid,blocking,duration,start,subtype,ts,license,parameters.sourceView,parameters.delayDuration,parameters.loadScenesDuration,parameters.updateSceneDuration,parameters.didCompile,parameters.backupScenesDuration,parameters.domainReloadDuration,parameters.noDomainReload,parameters.noSceneReload,parameters.sceneCount,parameters.dirtySceneCount,parameters.scriptDebugInfoEnabled,parameters.autoGenerate,parameters.bakeBackend,parameters.computeRealtime,parameters.computeBaked,parameters.outcome,parameters.indirectResolution,parameters.lightmapResolution,parameters.compressLightmaps,parameters.lightmapSize,parameters.progressive.directSamples,parameters.progressive.indirectSamples,parameters.progressive.bounces,parameters.progressive.prioritizeView,parameters.ambientOcclusion.maxDistance,parameters.progressive.russianRouletteStartBounce,parameters.progressive.minBounces,parameters.fallback,parameters.lightmaps.occupiedTexels,parameters.lightmaps.lightmapCount,parameters.scene.contributingInstanceCount,parameters.scene.meshCount,parameters.scene.totalTriangleCount,parameters.lights.mixedBakeMode,parameters.lights.bakedLightCount,parameters.lights.mixedLightCount,parameters.lights.shadowCastingLightCount,parameters.lights.cookieLightCount,parameters.lights.uniqueCookieCount,parameters.lightProbes.lightProbeGroupCount,parameters.lightProbes.lightProbeCount,parameters.lightProbes.contributingLightProbeLitInstanceCount,parameters.memory.maxTilingModeDuringBake,parameters.lightmapCompression,parameters.enlighten.finalGather.rayCount,parameters.enlighten.finalGather.denoise,used_lighting,bakeBackendflag,hour,sess_duration,sess_duration_h,hour_bin,total_hours,use_category,session_count
941084,2021-10-28 00:00:00.000000000,RlYbKEKOx1XovKOHi0BNqou4CH/PsrtIr0IV/Tmw1hc=,WindowsEditor,5525822366395873280,False,2585173.0,2021-10-28 16:04:32.085923400,computeLighting,2021-10-28 16:04:34.673000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,success,,6.0,True,2048.0,32.0,512.0,2.0,True,5.0,,1.0,none,,,,,,,,,,,,,,,,,,,True,True,16.0,0 days 04:50:22.934000,4.84,afternoon/evening,203.28,very high,1
947979,2021-10-28 00:00:00.000000000,RlYbKEKOx1XovKOHi0BNqou4CH/PsrtIr0IV/Tmw1hc=,WindowsEditor,5525822366395873280,False,2255858.0,2021-10-28 16:00:46.146054900,computeLighting,2021-10-28 16:00:48.404000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,success,,6.0,True,2048.0,32.0,512.0,2.0,True,5.0,,1.0,none,,,,,,,,,,,,,,,,,,,True,True,16.0,0 days 04:50:22.934000,4.84,afternoon/evening,203.28,very high,1
935674,2021-10-28 00:00:00.000000000,EYvpp/O9a3516i0htmEWq7aoZvjcn1pLj3YeEt4q0W4=,WindowsEditor,147661430475641632,False,127416782.0,2021-10-28 18:04:40.422815400,computeLighting,2021-10-28 18:06:47.839000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,cancelled,,70.0,,2048.0,1000.0,2000.0,16.0,False,1.0,,2.0,none,,,,,,,,,,,,,,,,3.0,,,True,True,18.0,0 days 01:51:41.715000,1.86,afternoon/evening,14.88,medium,1
952718,2021-10-28 00:00:00.000000000,EYvpp/O9a3516i0htmEWq7aoZvjcn1pLj3YeEt4q0W4=,WindowsEditor,147661430475641632,False,211244647.0,2021-10-28 18:07:35.523421700,computeLighting,2021-10-28 19:29:49.930000000,Unity Pro,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,False,True,cancelled,,70.0,,2048.0,1000.0,2000.0,16.0,False,1.0,,2.0,none,,,,,,,,,,,,,,,,3.0,,,True,True,19.0,0 days 01:51:41.715000,1.86,night,14.88,medium,1
987425,2021-10-28 00:00:00.000000000,x70Yb4zAg/N2+bUvDruyI7hYQhEiiPCIA9DevSJLl+o=,WindowsEditor,4005909145537315840,False,185939452.0,2021-10-28 12:46:53.327260300,computeLighting,2021-10-28 12:57:08.763000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,1300.0,False,512.0,128.0,128.0,2.0,True,0.5,,,,,,,,,,,,,,,,,,,,,,True,True,12.0,0 days 00:27:52.127000,0.46,day,1.3800000000000001,low,1
908871,2021-10-28 00:00:00.000000000,lafVXuBlkHwd73T2BqSc/G37RFfBn0VX4YXZ2bS996A=,WindowsEditor,3205625737126929920,False,95253579.0,2021-10-28 17:49:51.306282700,computeLighting,2021-10-28 17:51:26.558000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,True,True,cancelled,2.0,100.0,True,2048.0,32.0,500.0,2.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,17.0,0 days 00:32:22.387000,0.54,afternoon/evening,66.92999999999999,very high,5
929750,2021-10-28 00:00:00.000000000,lafVXuBlkHwd73T2BqSc/G37RFfBn0VX4YXZ2bS996A=,WindowsEditor,6998572614996915200,False,11636482.0,2021-10-28 19:18:40.439696500,computeLighting,2021-10-28 19:18:52.075000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,True,True,cancelled,2.0,100.0,True,2048.0,64.0,628.0,2.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,19.0,0 days 00:00:30.016000,0.01,night,66.92999999999999,very high,5
948829,2021-10-28 00:00:00.000000000,bF5Vppkb9TwoM7fCO2a+NdzcH7Zh6+shRfUPXYjhlio=,WindowsEditor,4481370509364425216,False,79967758.0,2021-10-28 16:39:54.363507300,computeLighting,2021-10-28 16:41:14.334000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivecpu,False,True,success,,10.0,True,512.0,32.0,256.0,2.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,16.0,0 days 01:25:08.579000,1.42,afternoon/evening,8.52,low,2
913306,2021-10-28 00:00:00.000000000,OI3iqVf3kvb66ynVmZizTrL2DzKmlAYG5ceMQ6nwZfc=,WindowsEditor,518200048787256064,False,61633672.0,2021-10-28 12:11:42.113707000,computeLighting,2021-10-28 12:12:43.747000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,True,True,success,2.0,40.0,True,1024.0,32.0,500.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,12.0,0 days 01:00:22.952000,1.01,day,11.11,medium,1
974595,2021-10-28 00:00:00.000000000,OI3iqVf3kvb66ynVmZizTrL2DzKmlAYG5ceMQ6nwZfc=,WindowsEditor,518200048787256064,False,69146649.0,2021-10-28 12:50:46.818002400,computeLighting,2021-10-28 12:51:55.964000000,Unity Personal,UnityEditor.LightingWindow,,,,,,,,,,,,False,progressivegpu,True,True,success,2.0,40.0,True,1024.0,32.0,500.0,2.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,True,True,12.0,0 days 01:00:22.952000,1.01,day,11.11,medium,1
